Date,CAT
10-13-2011,81.44
10-14-2011,84.09
10-17-2011,81.52
10-18-2011,84.72
10-19-2011,83.56
10-20-2011,84.26
10-21-2011,87.39
10-24-2011,91.77
10-25-2011,89.89
10-26-2011,91.57
10-27-2011,96.33
10-28-2011,96.85
10-31-2011,94.46
11-1-2011,91.63
11-2-2011,93.94
11-3-2011,96
11-4-2011,95.74
11-7-2011,95
11-8-2011,95.89
11-9-2011,91.64
11-10-2011,92.2
11-11-2011,96.13
11-14-2011,96.53
11-15-2011,97.07
11-16-2011,95.75
11-17-2011,93.81
11-18-2011,93.93
11-21-2011,91.12
11-22-2011,89.99
11-23-2011,87.76
11-24-2011,87.76
11-25-2011,86.72
11-28-2011,91.48
11-29-2011,90.54
11-30-2011,97.88
12-1-2011,96.82
12-2-2011,96.29
12-5-2011,96.85
12-6-2011,95.96
12-7-2011,94.89
12-8-2011,92.92
12-9-2011,95.97
12-12-2011,93.24
12-13-2011,90.98
12-14-2011,87
12-15-2011,87.7
12-16-2011,87.2
12-19-2011,87.25
12-20-2011,91.73
12-21-2011,91.63
12-22-2011,91.81
12-23-2011,92.25
12-26-2011,92.25
12-27-2011,91.55
12-28-2011,89.37
12-29-2011,90.58
12-30-2011,90.6
1-2-2012,90.6
1-3-2012,93.98
1-4-2012,94.85
1-5-2012,95.52
1-6-2012,95.76
1-9-2012,97.1
1-10-2012,99.96
1-11-2012,99.64
1-12-2012,101.94
1-13-2012,102.48
1-16-2012,102.48
1-17-2012,103.37
1-18-2012,104.26
1-19-2012,105.75
1-20-2012,105.64
1-23-2012,106.37
1-24-2012,106.29
1-25-2012,109.05
1-26-2012,111.31
1-27-2012,111.28
1-30-2012,110.41
1-31-2012,109.12
2-1-2012,110.52
2-2-2012,110.33
2-3-2012,113.94
2-6-2012,113.78
2-7-2012,113.81
2-8-2012,114.04
2-9-2012,112.83
2-10-2012,111.75
2-13-2012,113.7
2-14-2012,114.45
2-15-2012,112.53
2-16-2012,113.96
2-17-2012,113.95
2-20-2012,113.95
2-21-2012,115
2-22-2012,115.81
2-23-2012,116.2
2-24-2012,116
2-27-2012,115.63
2-28-2012,115.76
2-29-2012,114.21
3-1-2012,113.39
3-2-2012,112.49
3-5-2012,110.09
3-6-2012,105.93
3-7-2012,108.28
3-8-2012,110.28
3-9-2012,110.22
3-12-2012,108.94
3-13-2012,113.3
3-14-2012,112.27
3-15-2012,113.45
3-16-2012,113.58
3-19-2012,113.73
3-20-2012,110.76
3-21-2012,109
3-22-2012,106.43
3-23-2012,107.83
3-26-2012,108.75
3-27-2012,108.06
3-28-2012,104.26
3-29-2012,106.02
3-30-2012,106.52
4-2-2012,107.25
4-3-2012,106.21
4-4-2012,106.26
4-5-2012,105.87
4-6-2012,105.87
4-9-2012,103.57
4-10-2012,100.43
4-11-2012,101.75
4-12-2012,106.44
4-13-2012,105.89
4-16-2012,106.74
4-17-2012,108.41
4-18-2012,109.21
4-19-2012,107.36
4-20-2012,107.73
4-23-2012,106.9
4-24-2012,108.4
4-25-2012,103.44
4-26-2012,104.39
4-27-2012,104.56
4-30-2012,102.77
5-1-2012,102.11
5-2-2012,102.63
5-3-2012,100.67
5-4-2012,98.44
5-7-2012,97.19
5-8-2012,96.49
5-9-2012,95.99
5-10-2012,95.44
5-11-2012,95.5
5-14-2012,93.6
5-15-2012,92.68
5-16-2012,91.86
5-17-2012,87.8
5-18-2012,88.68
5-21-2012,91.98
5-22-2012,91.49
5-23-2012,92.47
5-24-2012,91.42
5-25-2012,89.94
5-28-2012,89.94
5-29-2012,92.52
5-30-2012,90.18
5-31-2012,87.62
6-1-2012,85.52
6-4-2012,83.26
6-5-2012,83.65
6-6-2012,86.66
6-7-2012,87.14
6-8-2012,87.6
6-11-2012,85.19
6-12-2012,87.05
6-13-2012,85.29
6-14-2012,85.89
6-15-2012,86.93
6-18-2012,86.74
6-19-2012,88.84
6-20-2012,87.17
6-21-2012,84.98
6-22-2012,84.96
6-25-2012,82.89
6-26-2012,82.73
6-27-2012,82.25
6-28-2012,82.63
6-29-2012,84.91
7-2-2012,83.68
7-3-2012,86.46
7-4-2012,86.46
7-5-2012,86.79
7-6-2012,84.61
7-9-2012,83.14
7-10-2012,80.27
7-11-2012,79.74
7-12-2012,79.64
7-13-2012,82.07
7-16-2012,81.15
7-17-2012,81.91
7-18-2012,82.52
7-19-2012,82.63
7-20-2012,80.95
7-23-2012,81.58
7-24-2012,81.43
7-25-2012,82.6
7-26-2012,83.3
7-27-2012,86.16
7-30-2012,85.69
7-31-2012,84.21
8-1-2012,82.65
8-2-2012,83.12
8-3-2012,85.02
8-6-2012,86.35
8-7-2012,87.22
8-8-2012,87.22
8-9-2012,88.4
8-10-2012,88.94
8-13-2012,88.61
8-14-2012,87.87
8-15-2012,87.61
8-16-2012,88.59
8-17-2012,90.01
8-20-2012,90.44
8-21-2012,90.29
8-22-2012,88.72
8-23-2012,87.63
8-24-2012,87.47
8-27-2012,86.63
8-28-2012,86.01
8-29-2012,86.09
8-30-2012,84.47
