Date,GBX,MLR,JOY,WAB,CYD,NPO,CIR,MTOR,XRM,KAI,AGCO,ALG,CFX,JBT,IEX,MLI,WNC,LDL,PLOW,ACW,BWC,OSK,AIN,LNN,XYL,ROK,GMT,CR,TKR,DOV,ITW,TEX,IR,TNC,DCI,FLS,KMT,CMI,GGG,GHM,DE,CLC,MTW,PNR,TTC,TRN,FSS,SPW,MTRN,SXI,NAV,PLL,MSA,Benchmark
10-13-2011,14.5,18.26,76.64,28.91,15.51,31.74,32.5,8.81,10.22,17.97,37.6,22.51,21.27,15.09,34.41,21.945,6.19,10.32,13.51,5.54,22.67,18.24,20.49,56.93,24.25,63.46,34.12,40.58,27.5827,43.9635,45.69,13.12,23.371,37.34,29.96,27.8533,36.46,95.48,38.03,17.77,69.8,45.24,8.4,35.36,25.835,12.65,4.3,51.6,26.83,36.02,38.68,47.93,28.88,30.0439717
10-14-2011,15.49,18.92,78.82,29.645,16.01,32.16,32.94,8.96,10.19,18,39.63,22.81,21.6,15.18,34.88,22.35,6.44,10.5,13.2,5.53,22.55,19.06,21.07,58.53,25.35,66.01,35.14,41.14,28.5204,44.652,46.89,13.59,24.3688,38.71,30.485,28.07,37.06,97.6,38.77,18.82,71.39,45.69,8.71,36.34,26.4,13.265,4.5,52.96,27.47,36.03,41.51,49,29.27,30.79577736
10-17-2011,14.96,18.51,75.71,29.01,15.31,31.35,31.24,8.38,9.71,17.12,36.99,20.96,20.81,14.71,34.13,21.67,6.01,10.19,12.94,5.44,21.53,18.3,19.9,55.34,25.16,62.11,33.91,39.82,27.4896,42.9598,45.43,12.67,23.1635,36.91,29.82,26.9666,35.2,92.37,38.16,18,69.57,44.3,7.87,35.21,25.76,12.53,4.26,50.71,26.01,34.28,39.19,47.81,27.84,29.5415
10-18-2011,15.88,19.37,79.85,29.995,15.74,31.89,33.96,8.3,9.98,17.04,38.78,21.42,21.04,15.4,35.7,22.415,6.4,10.73,13.27,5.57,21.57,19.21,20.8,56.07,25.24,65.3,35.63,41.37,28.8927,45.0999,46.82,13.51,24.1852,38.46,30.46,28.0166,36.14,93.76,39.4,18.87,70.13,45.58,8.25,35.65,26.535,13.295,4.52,51.65,27.66,36.33,40.38,48.96,29.15,30.55895094
10-19-2011,16.58,19.2,77.76,29.155,15.23,31.46,32.72,8.25,9.53,16.99,38.31,21.57,20.58,15.1,34.8,21.765,6.13,10.1,13.03,5.39,21.64,18.8,20.08,53.5,24.75,63.66,35.4,40.99,27.6471,43.7976,46.21,13.65,23.7302,37.31,30.255,27.6733,35.69,90.49,38.79,17.75,69.11,44.67,7.95,35.37,26.045,12.965,4.37,51.67,25.86,35.34,40.35,48.13,28.27,29.91628679
10-20-2011,16.81,19.5,77.68,29.52,15.08,31.33,31.99,7.87,9.06,16.88,38.81,21.93,20.13,15.05,33.98,21.99,6.23,10.01,12.93,5.53,21.42,18.4,19.98,51.94,24.75,63.69,35.7,41.52,28.32,44.4197,46.53,13.5,21.8545,37.13,30.155,27.1667,35.97,91.84,38.36,17.68,69.25,44.59,8.1,35.2,26.07,13.42,4.38,52.23,25.36,35.78,40.1,47.72,28.22,29.86897925
10-21-2011,17.03,19.56,81.82,30.73,15.68,32.39,32,8.13,9.19,17.78,40,22.8,20.18,15.57,34.63,22.325,6.56,10.5,13.32,5.63,21.91,19.9,20.6,53.75,25.54,66.54,36.79,42.48,29.2077,43.7229,47.36,13.94,22.3015,38.64,30.955,28.1233,37.09,94.22,39.46,18.65,72.23,46.23,8.51,36.31,26.385,13.495,4.56,52.79,25.6,36.84,41.69,49.79,30.32,30.78783774
10-24-2011,17.94,20.25,86.67,31.94,16.19,33.32,34.59,9.14,9.67,19.25,41.59,23.89,20.8,16,35.81,23,6.88,10.99,13.85,5.75,22.73,20.35,21.44,57.84,25.77,68.4,38.13,43.76,30.0095,44.5773,48.23,14.94,23.5466,40.3,31.665,29.7966,38.96,98.82,40.47,19.36,74.55,47.52,9.18,37.48,26.995,13.96,4.73,55.42,27.43,37.73,42.93,51.3,31.93,32.03339623
10-25-2011,17.9,19.55,85.32,33.42,15.48,32.83,33.07,8.81,9.34,18.93,40.96,23.7,20.42,15.62,35.01,18.97,6.36,10.49,13.59,5.66,21.87,19.71,20.53,56.93,25.75,64.6,37.17,43.72,29.0645,45.3405,45.65,13.87,23.6424,37.75,31.315,28.92,37.51,93.81,39.8,17.75,73.12,45.99,8.65,36.64,26.6,13.735,4.47,52.73,25.77,36.32,41.57,50.64,30.46,31.07221509
10-26-2011,18.1,20.37,87.59,32.975,15.79,34,33.94,9.02,9.8,18.64,43.12,24.29,21.12,16.15,35.61,19.23,6.64,10.91,13.95,5.53,22.36,20.13,21.26,58.02,25.02,65.39,38.51,44.31,30.0166,46.1617,46.28,14.94,24.2331,37.44,31.875,29.06,38.4,94.88,40.61,18.88,73.93,46.67,10.56,36.79,26.79,13.46,4.62,52.94,26.57,37.25,42.55,51.18,31.33,31.6828566
